Letter,Date,Year,Sender,Receiver,Transcription
DCP-LETT-3402.xml,1809-01-01,1809,"Darwin, C. R.","Müller, Hermann",I have been a long time meditating whether I dared write and make the request I am about to do—but even if you cannot grant I hope you will take it as a compliment rather than in 〈any〉 other light— I am so gratified at having made your acquaintance altho 〈    〉 on paper 〈    〉 〈w〉ould so like if it were 〈po〉ssible that you would give me a photo or lithograph or any other portrait of yourself to hang up in my own sitting room   Sir William Hooker and many more have done so and it is such a pleasure to have near me the resemblance of friends to whom I am indebted for so many pleasant hours—in reading their works and listening to their conversation— Do comply with my request if you possibly can— If I could I would buy one but to me that would be of no value unless it came from you and with your autograph— I shall enclose with this a list of orchids now in bloom that you may see whether you want any We have 2 splendid Stangeria Paradoxa now in blossom one the fruitful one the barren flower   What a curious bulbous plant it is— Do you believe it is a Cycadaceous Palm of the same species as Dion Edule— I hope I have not exposed my ignorance in making these remarks—but I am so fond of all kinds of Botany and natural history that I fear I undertake too many things to do anything well— I only wish for an unframed photo or lithograph   however bad I shall be most grateful for it Y rs most truly | Dorothy Nevill I am so interested in the account of your pigeons in your book Do you live ne〈ar〉 to Sydneys 〈    〉
DCP-LETT-7240F.xml,1809-01-01,1809,"Darwin, C. R.","Bailey, W. W.",His Royal Highness The Prince of Wales. M r . & M rs . Pender request the honor of M r . Charles Darwin’s Company on the Evening of Thursday the 23 rd . June at 10 o’c〈lock〉
DCP-LETT-8364.xml,1809-01-01,1809,"Darwin, C. R.","Swinhoe, Robert","I couldn’t catch Garrod last night. He cannot give a definite answer without thinking over it. He thinks that in the quick beating of the heart in fear, it is not doing any more work— He cannot say even that it is actually working harder in hard exercise— Its seems to be rather complicated & not to easy to say what working harder means— He thinks that running & feeling the pulse wouldn’t prove anything.— Y rs F D"
DCP-LETT-8456.xml,1809-01-01,1809,"Darwin, C. R.","Dohrn, F. A.","I am very happy Dear Sir to share any profits that will come out of the Edition of Your new book and I hope profits will come out of it. We had so much to talk over during my visit, that I could not fully explain to You how matter stands with Your other works. I would be extremely glad to share also any profits from Your former 4 vol. but unhappily till now I am a heavy loser by them. You will appreciate this seemingly strange fact by my saying that besides my complete Edition of Your Descent of Man, we have in Russia two pirated abridged edition of the same work selling at a very low price. We are not protected by a treaty and every successful book printed in England is sure to be published in an abridged and bad translation, which by its low price cuts entirely all profits of a good and complete Edition. By publishing the work “on Expression” shortly after the original there is a hope of preventing competitive and bad Editions, but still I must be prepared that after the book is out in England it will be translated and printed in a cheap form with some of the woodcuts made in Russia, and the whole book sold at 2/6 or 3s. However if profits will come, I and my brother will be very glad to share them. If You will allow me, I’ll call one day of the ensuing week, for a short visit, on You, and try to arrange this matter to our mutual satisfaction Your very truly | W. Kowalevsky"
DCP-LETT-8848A.xml,1809-01-01,1809,"Darwin, C. R.","Darwin, Francis","I send straight to Pantlludw a bottle of formic acid & litmus paper (you can blue it with smelling salts) will you & Amy search some mountain tarns immediately & if you can find any not developed spawn, keep 2 basons in a warm room & add 6 drops of acid to one; & then even in a fortnight you ought to perceive a difference; & I dare say Amy w d observe for another week or two after you are gone— that is if the whole thing does not go squash Yours affectly | Ch. D."
DCP-LETT-13829.xml,1859-01-01,1859,"Darwin, C. R.","Denny, John",[]
DCP-LETT-13770G.xml,1860-03-19,1860,"Darwin, C. R.","Sclater, P. L.",[]
DCP-LETT-2765A.xml,1860-04-21,1860,"Darwin, C. R.","Huxley, T. H.",Carpenter’s Review.— Did you take it away by mistake? Hooker says he did not.—
DCP-LETT-2922.xml,1860-09-20,1860,"Darwin, C. R.","Weismann, A. F. L.","My dear Sir I have read your long letter with much interest & I thank you sincerely for your great liberality in sending it me.— But on reflexion I do not wish to attempt answering any part, except to you privately: anything said by myself in defence would have no weight; it is best to be defended by others or not at all. Parts of your letter seem to me, if I may be permitted to say so, very acute & original; & I feel it a great compliment your giving up so much time to my book. But on the whole I am disappointed; not from your not concurring with me, for I never expected that; & indeed in your remarks on Ch. XII & XIII you go so much further with me, (though a little way) than I ever anticipated & am much pleased at the result. But on the whole I am disappointed, because it seems to me that you do not understand what I mean by Natural Selection, as shown at p. 11 of your letter & by several of your remarks.—   As my book has failed to explain my meaning it would be hopeless to attempt it in a letter. You speak in early part of your letter & at p. 9. as if I had said that Natural Selection was the sole agency of modification; whereas I have over & over again, ad nauseam, directly said & by order of precedence implied (what seems to me obvious) that selection can do nothing without previous variability. see p. 80, 108, 127, 468, 469 &c “Nothing can be effected unless favourable variations occur”. I consider Natural Selection as of such high importance, because it accumulates successive variations in any profitable direction; & thus adapts each new being to its complex conditions of life.—   The term “Selection” I see deceives many persons; though I see no more reason why it should than elective affinity, as used by the old chemists. If I had to rewrite my book, I would use “natural preservation” or “naturally preserved”. I sh d . think you would as soon take an emetic as reread any part of my Book, but if you did & were to erase selection & selected & insert preservation & preserved, possibly the subject would be clearer. As you are not singular in misunderstanding my Book, I should long before this have concluded that my brains were in a haze, had I not found by published reviews & especially by correspondence that Lyell, Hooker, Asa Gray, H. C. Watson, Huxley & Carpenter & many others perfectly comprehend what I mean. The upshot of your remarks at p. 11 is that my explanations &c & the whole doctrine of natural selection are mere empty words signifying the “order of nature”; as the above named clear-headed men, who do comprehend my views, all go a certain length with me & certainly do not think it all moonshine, I should venture to suggest a little further reflexion on your part. I do not mean by this to imply that the opinion of these men is worth much as showing that I am right, but merely as some evidence that I have clearer ideas, than you think; otherwise these same men must be even more muddled headed than I am; for they have no temptation to deceive themselves. In the forthcoming September no r of the American Journal of Science there is an interesting & short Theological Arcticle (by Asa Gray), which gives incidentally with admirable clearness the theory of Natural Selection, & therefore might be worth your reading: I think that the theological part would interest you.) You object to all my illustrations: they are all necessarily conjectural, & may be all false; but they were the best I could give. The Bear case has been well laughed at, & disingenuously distorted by some into my saying that a bear could be converted into a whale; as it offended persons I struck it out in 2 d . Edition; but I still maintain that there is no especial difficulty in a Bear’s mouth being enlarged to any degree useful to its changing habits,—no more difficulty than man has found in increasing the crop of the pigeon, by continued selection, until it is literally as big as whole rest of body. If this had not been known, how absurd it would have appeared to say that the crop of a bird might be increased till it became like a balloon. (With respect to the ostrich, I believe that the wings have been reduced & are not in course of development, because the whole structure of a Bird is essentially formed for flight; & the Ostrich is essentially a bird. You will see at p. 182 of “Origin” a somewhat analogous discussion. At p. 450 of 2 d Edit. I have pointed out the essential distinction between a nascent & rudimentary organ.—   If you prefer the more complex view that the progenitor of the Ostrich lost its wings, & that the present ostrich is regaining them, I have nothing to say in opposition.—) (With respect to Trees on islands: I collected some cases, but took the main facts from Alph. De Candolle, & thought they might be trusted. My explanation may be grossly wrong; but I am not convinced it is so; & I do not see the full force of your argument of certain herbaceous orders having been developed into trees in certain rare cases on continent. The case seems to me to turn altogether on the question whether generally herbaceous orders more frequently afford trees & bushes on islands, than on continents, relatively to these areas.—) (In p. 4. of your letter you say you give up many Book-species as separate creations; I give up all, & you infer that our difference is only in degree & not in kind. I dissent from this; for I give a distinct reason how far I go in giving up species; I look at all forms, which resemble each other homologically or embryologically as certainly descended from the same parents.) (You hit me hard & fairly about my question (p. 483 Origin) about creation of eggs or young &c—(but not about mammals with mark of umbilical chord). Yet I still have an illogical sort of feeling that there is less difficulty in imagining the creation of an asexual cell, increasing by simple division.) (Page 5 of your letter,—   I agree to every word about antiquity of World; & never saw the case put by any one more strongly or more ably. It makes, however, no more impression on me, as an objection; than does the astronomer when he puts on a few hundred-million miles to the distance of the fixed stars. To compare very small things with great,—Lingula &c remaining nearly unaltered from Silurian epoch to present day is like the dovecot pigeons still being identical with wild rock-pigeons, whereas its “fancy” offspring have been immensely modified & are still being modified by means of artificial Selection.)—) (You put the difficulty of the first modification of the first protozoon admirably : I assure you that immediately after 1 st . Edit. was published this occurred to me; & I thought of inserting it in 2 d . Edit. I did not, because we know not in the least what the first germ of life was; nor have we any fact at all to guide us in our speculations on the kind of change which its offspring underwent. I dissent quite from what you say of myriads of years it would take to people world with such imagined protozoon.— In how very short a time Ehrenberg calculated that a single infusorium might make a cube of rock— A single cube on geometrical progression would make the solid globe in (I suppose) under a century. From what little I know I, cannot help thinking that you underrate the effect of the physical conditions of life on these low organisms. But I fully admit that I can give no sort of answer to your objection; yet I must add that it would be marvellous if any man ever could, assuming for the moment that my theory is true.—   You beg the question, I think, in saying that Protococcus would be doomed to eternal similarity:—nor can you know that the first germ resembled a Protococcus or any other now living form.—) (Page 12 of your letter. There is nothing in my theory necessitating in each case progression of organisation; though natural selection tends in this line, & has generally thus acted. An animal if it became fitted by selection to live the life, for instance, of a parasite, will generally become degraded. I have much regretted that I did not make this part of the subject clearer; I left out this & many other subjects, which I now see ought to have been introduced. I have inserted a discussion on this subject in the foreign Editions. In no case will any organic being tend to retrograde unless such retrogradation be an advantage to its varying offspring; & it is difficult to see how going back to the structure of the unknown supposed original protozoon would ever be an advantage.) (Page 13 of your letter. I have been more glad to read your discussion on “dominant” forms than any part of your letter: I can now see that I have not been cautious enough in confining my definition & meaning. I cannot say that you have altered my views. If Botrytis had exterminated the wild Potatoe, a low form would have conquered a high; but I cannot remember that I have ever said (I am sure I never thought) that a low form would never conquer a high. I have expressly alluded to parasites half exterminating game-animals: & to the struggle for life being sometimes between forms as different as possible, for instance between grasshoppers & herbivorous quadrupeds. Under the many conditions of life which this world affords, any group which is numerous in individuals & species & is widely distributed may properly be called dominant. I never dreamed of considering that any one group, under all conditions & throughout the world, could be pre dominant. How could Vertebrata be predominant, under the conditions of life to which parasitic worms live? What good would their perfected senses & their intellect serve under such conditions? When I have spoken of dominant forms, it has been in relation to the multiplication of new specific forms, & the dominance of any one species has been relative generally to other members of the same group, or at least to beings exposed to similar conditions & coming into competition. But I daresay that I have not in the Origin made myself clear, & space has rendered it impossible. But I thank you most sincerely for your valuable remarks, though I do not agree with them.) (About sudden jumps; I have no objection to them: they would aid me in some cases: all I can say is, that I went into the subject, & found no evidence to make me believe in jumps; & a good deal pointing in the other direction.—   You will find it difficult (p. 14 of your letter) to make a marked line of separation between fertile & infertile crosses. I do not see how the apparently sudden change (for the suddenness of change in chrysalis is of course largely only apparent) in larvæ during their development throws any light on this subject.—) I wish I could have made this letter better worth sending to you: I have had it copied to save you at least the intolerable trouble of reading my bad hand-writing. Again I thank you for your liberality & kindness in sending me your criticisms; & I heartily wish we were a little nearer in accord, but we must remain content to be as wide asunder as the poles; but without, thank God, any malice or other ill feeling.— My dear Sir | Yours very sincerely"
DCP-LETT-2924.xml,1860-09-22,1860,"Darwin, C. R.","Meldola, Raphael","This is my address.—   I will write soon— I am grateful for your last note.— I am dying to hear about pure gum [ Yours ] | C. Darwin. P.S. | Will you be so kind as to dry a little of your Gum used on Drosera & burn it; perhaps you would detect smell of animal matter if any gelatine or glue used or size used.— Any corrosive Sublimate?? Could you send me, when you write, one leaf (& name) of Australian Drosera, that I may see it out of idle curiosity.—"
